Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-1200_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.40193e+14 	1.40193e+14
NMSSM_XtoYHto4B_MX-1200_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.38472e+14 	1.38472e+14
NMSSM_XtoYHto4B_MX-1200_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.11565e+14 	1.11565e+14
NMSSM_XtoYHto4B_MX-1200_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	67000	7.58836e+13 	7.58836e+13
NMSSM_XtoYHto4B_MX-1200_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	64000	3.27721e+13 	3.27721e+13
NMSSM_XtoYHto4B_MX-1400_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	61000	6.18146e+13 	6.18146e+13
NMSSM_XtoYHto4B_MX-1400_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.78445e+13 	6.78445e+13
NMSSM_XtoYHto4B_MX-1400_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.77857e+13 	6.77857e+13
NMSSM_XtoYHto4B_MX-1400_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.77232e+13 	6.77232e+13
NMSSM_XtoYHto4B_MX-1400_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	64000	6.46703e+13 	6.46703e+13
NMSSM_XtoYHto4B_MX-1400_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	64000	6.46244e+13 	6.46244e+13
NMSSM_XtoYHto4B_MX-1400_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.74542e+13 	6.74542e+13
NMSSM_XtoYHto4B_MX-1400_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.72142e+13 	6.72142e+13
NMSSM_XtoYHto4B_MX-1400_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.65851e+13 	6.65851e+13
NMSSM_XtoYHto4B_MX-1400_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.48316e+13 	6.48316e+13
NMSSM_XtoYHto4B_MX-1400_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.23127e+13 	6.23127e+13
