Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM-XtoYHto4B_Par-MX-1400-MY-800_TuneCP5_13p6TeV_madgraph-pythia8	100000	6.72915e+13 	6.72915e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.7535e+13 	4.7535e+13
NMSSM-XtoYHto4B_Par-MX-1400-MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	98000	2.07422e+13 	2.07422e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	99000	5.08045e+13 	5.08045e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.1289e+13 	5.1289e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.1269e+13 	5.1269e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.12293e+13 	5.12293e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	99000	5.07e+13 	5.07e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.1194e+13 	5.1194e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1600-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	39000	1.98652e+13 	1.98652e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.05522e+13 	5.05522e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.95552e+13 	4.95552e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	95000	4.5711e+13 	4.5711e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.62698e+13 	4.62698e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-600_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.40251e+13 	4.40251e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-800_TuneCP5_13p6TeV_madgraph-pythia8	100000	3.82516e+13 	3.82516e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	100000	3.07762e+13 	3.07762e+13
NMSSM-XtoYHto4B_Par-MX-1600-MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	98000	2.10385e+13 	2.10385e+13
