Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-1400_MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.98496e+12 	6.98496e+12
NMSSM_XtoYHto4B_MX-1600_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.69269e+13 	1.69269e+13
NMSSM_XtoYHto4B_MX-1600_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.69294e+13 	1.69294e+13
NMSSM_XtoYHto4B_MX-1600_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.69148e+13 	1.69148e+13
NMSSM_XtoYHto4B_MX-1600_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.69014e+13 	1.69014e+13
NMSSM_XtoYHto4B_MX-1600_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.69004e+13 	1.69004e+13
NMSSM_XtoYHto4B_MX-1600_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.68887e+13 	1.68887e+13
NMSSM_XtoYHto4B_MX-1600_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.68508e+13 	1.68508e+13
NMSSM_XtoYHto4B_MX-1600_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.68094e+13 	1.68094e+13
NMSSM_XtoYHto4B_MX-1600_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.66832e+13 	1.66832e+13
NMSSM_XtoYHto4B_MX-1600_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.63559e+13 	1.63559e+13
NMSSM_XtoYHto4B_MX-1600_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.58806e+13 	1.58806e+13
NMSSM_XtoYHto4B_MX-1600_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.52686e+13 	1.52686e+13
NMSSM_XtoYHto4B_MX-1600_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.4527e+13 	1.4527e+13
NMSSM_XtoYHto4B_MX-1600_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.26252e+13 	1.26252e+13
NMSSM_XtoYHto4B_MX-1600_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.01588e+13 	1.01588e+13
NMSSM_XtoYHto4B_MX-1600_MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.08216e+12 	7.08216e+12
NMSSM_XtoYHto4B_MX-1600_MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.12147e+12 	3.12147e+12
NMSSM_XtoYHto4B_MX-1800_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.97426e+12 	8.97426e+12
NMSSM_XtoYHto4B_MX-1800_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.97021e+12 	8.97021e+12
NMSSM_XtoYHto4B_MX-1800_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.96601e+12 	8.96601e+12
NMSSM_XtoYHto4B_MX-1800_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.95827e+12 	8.95827e+12
NMSSM_XtoYHto4B_MX-1800_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.96046e+12 	8.96046e+12
NMSSM_XtoYHto4B_MX-1800_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.95482e+12 	8.95482e+12
NMSSM_XtoYHto4B_MX-1800_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.94561e+12 	8.94561e+12
NMSSM_XtoYHto4B_MX-1800_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.92311e+12 	8.92311e+12
NMSSM_XtoYHto4B_MX-1800_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.87463e+12 	8.87463e+12
NMSSM_XtoYHto4B_MX-1800_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.7342e+12 	8.7342e+12
NMSSM_XtoYHto4B_MX-1800_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.53674e+12 	8.53674e+12
NMSSM_XtoYHto4B_MX-1800_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.28534e+12 	8.28534e+12
NMSSM_XtoYHto4B_MX-1800_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.97451e+12 	7.97451e+12
NMSSM_XtoYHto4B_MX-1800_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.18287e+12 	7.18287e+12
NMSSM_XtoYHto4B_MX-1800_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.15951e+12 	6.15951e+12
NMSSM_XtoYHto4B_MX-1800_MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.9047e+12 	4.9047e+12
NMSSM_XtoYHto4B_MX-1800_MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.38787e+12 	3.38787e+12
NMSSM_XtoYHto4B_MX-1800_MY-1600_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.47918e+12 	1.47918e+12
NMSSM_XtoYHto4B_MX-2000_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.93299e+12 	4.93299e+12
NMSSM_XtoYHto4B_MX-2000_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.9311e+12 	4.9311e+12
NMSSM_XtoYHto4B_MX-2000_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.92834e+12 	4.92834e+12
NMSSM_XtoYHto4B_MX-2000_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.92969e+12 	4.92969e+12
NMSSM_XtoYHto4B_MX-2000_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.92987e+12 	4.92987e+12
NMSSM_XtoYHto4B_MX-2000_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.92411e+12 	4.92411e+12
NMSSM_XtoYHto4B_MX-2000_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.9212e+12 	4.9212e+12
NMSSM_XtoYHto4B_MX-2000_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.91055e+12 	4.91055e+12
NMSSM_XtoYHto4B_MX-2000_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.88754e+12 	4.88754e+12
NMSSM_XtoYHto4B_MX-2000_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.82589e+12 	4.82589e+12
NMSSM_XtoYHto4B_MX-2000_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.73787e+12 	4.73787e+12
NMSSM_XtoYHto4B_MX-2000_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.62696e+12 	4.62696e+12
NMSSM_XtoYHto4B_MX-2000_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.48824e+12 	4.48824e+12
NMSSM_XtoYHto4B_MX-2000_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.13793e+12 	4.13793e+12
NMSSM_XtoYHto4B_MX-2000_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.68568e+12 	3.68568e+12
NMSSM_XtoYHto4B_MX-2000_MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.13158e+12 	3.13158e+12
NMSSM_XtoYHto4B_MX-2000_MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.471e+12 	2.471e+12
NMSSM_XtoYHto4B_MX-2000_MY-1600_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.69344e+12 	1.69344e+12
NMSSM_XtoYHto4B_MX-2000_MY-1800_TuneCP5_13p6TeV_madgraph-pythia8	33000	7.35075e+11 	7.35075e+11
NMSSM_XtoYHto4B_MX-2500_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.2402e+12 	1.2402e+12
NMSSM_XtoYHto4B_MX-2500_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.24004e+12 	1.24004e+12
NMSSM_XtoYHto4B_MX-2500_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.24052e+12 	1.24052e+12
NMSSM_XtoYHto4B_MX-2500_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.23892e+12 	1.23892e+12
NMSSM_XtoYHto4B_MX-2500_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.23938e+12 	1.23938e+12
NMSSM_XtoYHto4B_MX-2500_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.2389e+12 	1.2389e+12
NMSSM_XtoYHto4B_MX-2500_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.23796e+12 	1.23796e+12
NMSSM_XtoYHto4B_MX-2500_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.23585e+12 	1.23585e+12
NMSSM_XtoYHto4B_MX-2500_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.23285e+12 	1.23285e+12
NMSSM_XtoYHto4B_MX-2500_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.22306e+12 	1.22306e+12
NMSSM_XtoYHto4B_MX-2500_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.20893e+12 	1.20893e+12
NMSSM_XtoYHto4B_MX-2500_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.19076e+12 	1.19076e+12
